,Type,Entity 1,Relationship,Type.1,Entity2
3167,PERSON,Harris, sentences to ,O, death
3168,GPE,Iran, has ,O, Ministry of Intelligence
3169,GPE,Iran, has ,NORP, Islamic Police
3170,GPE,London, in gallery is ,O, Chechi
3171,GPE,Iran, moved ,O, call
3172,GPE,Iran, call for ,O, repatriation of artefacts
3173,ORG,Art-Law Centre, University of ,O, Geneva
3174,PERSON,Yazd, ' Agency is ,DATE, 29/04/2006
3175,GPE,Iran, in ,PERSON, southern province of Kerman
3176,GPE,Iran, moved ,O, call for repatriation of artefacts
3177,GPE,Iran, call for ,O, repatriation of artefacts believed
3178,GPE,Iran, has ,O, New Raid against
3179,GPE,Iran, call for ,O, repatriation
3180,GPE,Iran, moved ,O, call for repatriation
3181,GPE,Iran, News 's ,PERSON, Payvand
3182,PERSON,Payvand, has ,GPE, Iran News
3183,PERSON,Yazd, in ,NORP, Iranian Cultural Heritage News Agency
3184,GPE,Iran, moved ,O, call for repatriation of artefacts believed
3185,GPE,Drouot, is in ,GPE, Paris
3186,PERSON,Payvand, 's News is ,DATE, 2004
3187,PERSON,Payvand, has ,GPE, Iran News 2004
3188,PERSON,Payvand, has ,DATE, Iran News 2004
3189,ORG,Christie, in ,DATE, 16 June 2006
3190,ORG,Christie, allowing ,O, US Customs
3191,ORG,Christie, withdrew ,O, piece
3192,ORG,Metropolitan, has ,O, curator
3193,ORG,Christie, withdrew piece from ,O, sale
3194,ORG,Christie, has ,O, New York
3195,NORP,Tainos, was later used by ,NORP, Spanish
3196,PERSON,Fort Charles, restoration ,O, settlement Port Royal
3197,PERSON,George Bass, in Royal is ,GPE, Jamaica
3198,PERSON,Port Royal, earthquake in ,O, sixteenth century
3199,PERSON,Port Royal, ' ,DATE, http://www.jnht.com/site_port_royal.php accessed 15 November 2012
3200,PERSON,Luna Erreguerena, foundations of ,O, underwater
3201,ORG,Thompson, take ,O, steps
3202,GPE,Jamaica, deposited with ,O, Director-General
3203,NORP,Tainos, was used by ,NORP, Spanish
3204,PERSON,Margaret Leshikar-Denton, in Gray is ,NORP, Dorrick Jamaican version
3205,GPE,Jamaica, deposited with ,ORG, Director-General of UNESCO
3206,NORP,Tainos, was ,O, used
3207,NORP,Tainos, was ,O, later used
3208,PERSON,Port Royal, is in ,O, George Bass
3209,ORG,Kingston, is in ,GPE, Jamaica
3210,DATE,12 May, accessed ,DATE, 15 November 2012
3211,GPE,Jamaica, deposited On ,DATE, 9 August 2011
3212,NORP,Tainos, was later used by ,NORP, Spanish for cleaning
3213,NORP,Tainos, was used by ,NORP, Spanish for cleaning
3214,PERSON,Mayes, left in ,DATE, 1971
3215,ORG,Gray, is in ,PERSON, Margaret Leshikar-Denton
3216,PERSON,Lynch, Limits ' ,O, to Authoritarian Arab State
3217,ORG,El-Aref, Help on ,O, hand
3218,PERSON,Lynch, Limits After ,GPE, Egypt
3219,ORG,El-Aref, Help on ,O, hand for
3220,PERSON,Lynch, Limits of ,O, Online Challenges
3221,PERSON,Lynch, Perspectives on ,O, Politics
3222,LOC,Mackenzie, Going ,O, Going
3223,GPE,Egypt, of ,O, leader Hosni Mubarak
3224,PERSON,Ken-Amun, of tomb is ,DATE, only 19th-Dynasty tomb known in Lower Egypt
3225,GPE,Abu Sir, have ,O, have broken
3226,GPE,Egypt, 's treasures is ,PERSON, Al-Ahram
3227,PERSON,Ken-Amun, of tomb is ,GPE, only 19th-Dynasty tomb known in Lower Egypt
3228,GPE,Egypt, ' ,O, treasures
3229,PERSON,Pogrebin, relic from ,O, temple
3230,ORG,ICE, obtained seizure warrant in ,DATE, 2003
3231,GPE,Egypt, has ,O, Supreme Council of Antiquities
3232,ORG,ICE, obtained ,O, seizure warrant
3233,PERSON,Pharoah Nectanebo II, of reign is ,ORG, 360-341 BC
3234,ORG,Smithsonian, would ,O, would seen
3235,ORG,Smithsonian, condoning ,O, commercial exploitation of excavated objects
3236,ORG,Smithsonian, propose ,O, re-excavation
3237,ORDINAL,second, was ,NORP, underwater specialist Dr Michael Flecker
3238,ORG,Smithsonian, continuing ,O, exhibition
3239,ORG,Smithsonian, condoning ,O, exploitation of objects
3240,GPE,Indonesia, significance of ,O, wreck
3241,ORG,Smithsonian, condoning ,O, exploitation
3242,ORG,Walterfang, obtained ,O, licenses
3243,PERSON,Shark, has ,O, Fin Soup
3244,ORDINAL,second, was ,NORP, specialist Dr Michael Flecker
3245,ORG,Walterfang, sold collection for ,O, $ 32 million
3246,ORG,Smithsonian, adhere to ,O, spirit
3247,ORG,Smithsonian, condoning ,O, commercial exploitation of objects
3248,PERSON,Julian Raby, director of ,ORG, Smithsonian Institution 's Freer/Sackler Galleries
3249,GPE,China, 's Province is ,NORP, Flecker 2000
3250,ORDINAL,second, was ,NORP, Southeast underwater specialist Dr Michael Flecker
3251,ORG,Smithsonian, instead propose re-excavation to ,O, Republic
3252,ORG,Smithsonian, condoning ,O, exploitation of unscientifically objects
3253,PERSON,Julian Raby, was ,DATE, In 2007 approached by Singapore Tourism Board 's Pamelia Lee
3254,PERSON,Victor Mair, author of ,NORP, Chinese languages
3255,PERSON,Belitung, island off ,GPE, eastern coast of Sumatra
3256,ORG,Walterfang, obtained licenses from ,O, government
3257,GPE,China, 's Province is ,DATE, Flecker 2000
3258,GPE,Indonesia, recognized ,O, significance
3259,PERSON,http://www.nytimes.com/2011/04/25/arts/design/smithsonian-sunken-treasure-show-poses-ethics-questions.html?_r=1 Woodward, interview with ,O, Meg Lambert
3260,ORDINAL,second, was ,NORP, Southeast specialist Dr Michael Flecker
3261,DATE,2005, in USD is ,O, wholly-owned subsidiary of Sentosa Development Corporation
3262,ORG,Smithsonian, condoning ,O, exploitation of unscientifically excavated objects
3263,PERSON,Victor Mair, author at ,O, University of Pennsylvania
3264,ORG,Smithsonian, instead propose ,O, re-excavation
3265,ORG,USD, subsidiary of ,O, Sentosa Development Corporation
3266,PERSON,Julian Raby, was approached by ,GPE, Singapore Tourism Board 's Pamelia Lee
3267,ORG,Smithsonian, adhere to ,O, spirit of Convention
3268,GPE,China, during ,PERSON, Tang Dynasty
3269,PERSON,Julian Raby, organizing ,O, exhibition
3270,PERSON,Raby, organized ,CARDINAL, two meetings
3271,ORG,Smithsonian, propose re-excavation to ,O, Republic
3272,ORG,Smithsonian Institution, of ,O, Freer/Sackler Galleries
3273,ORG,USD, is in ,DATE, 2005 to Sentosa Leisure Group
3274,ORG,Smithsonian, condoning ,O, commercial exploitation of unscientifically excavated objects
3275,ORG,Smithsonian, instead propose ,PERSON, re-excavation of Belitung shipwreck site
3276,ORG,Walterfang, obtained licenses from ,NORP, Indonesian government
3277,ORG,Science Magazine, interviews with ,O, Meg Lambert
3278,ORG,Smithsonian, propose ,PERSON, re-excavation of Belitung shipwreck site
3279,ORDINAL,second, was ,NORP, Asian specialist Dr Michael Flecker
3280,GPE,China, from ,O, Hunan Province
3281,GPE,Indonesia, recognized ,O, significance of wreck
3282,PERSON,Julian Raby, was ,O, approached
3283,PERSON,Julian Raby, organizing ,O, exhibition of shipwreck
3284,GPE,Johnston, interview with ,O, Meg Lambert
3285,PERSON,Belitung, island in ,O, Java Sea
3286,ORDINAL,second, was ,NORP, Southeast Asian specialist Dr Michael Flecker
3287,ORG,Smithsonian, condoning ,O, exploitation of excavated objects
3288,ORG,Seabed Explorations, excavate ,O, wreck
3289,ORG,Smithsonian, exhibiting ,O, shipwreck artefacts
3290,PERSON,Julian Raby, was ,GPE, In 2007 approached by Singapore Tourism Board 's Pamelia Lee
3291,ORG,Smithsonian, condoning ,O, commercial exploitation of unscientifically objects
3292,ORG,Smithsonian, instead propose re-excavation to ,GPE, Republic of Indonesia
3293,ORG,Smithsonian, holding ,O, exhibition
3294,ORG,Smithsonian, by ,PERSON, Sackler Gallery
3295,ORG,Smithsonian, re-excavation of ,PERSON, Belitung shipwreck site
3296,GPE,Mathewson, Archaeology on ,O, Trial '
3297,ORG,Walterfang, sold ,O, collection
3298,ORDINAL,second, was ,NORP, Southeast Asian underwater specialist Dr Michael Flecker
3299,ORG,Smithsonian, condoning ,O, commercial exploitation
3300,PERSON,Julian Raby, was approached In ,DATE, 2007
3301,ORDINAL,second, was ,NORP, Asian underwater specialist Dr Michael Flecker
3302,ORG,Smithsonian, propose re-excavation to ,GPE, Republic of Indonesia
3303,GPE,Egypt, by ,O, Supreme Council of Antiquities
3304,ORG,Bonhams, being notified by ,GPE, Egypt 's Supreme Council of Antiquities
3305,ORG,Bonhams, being ,O, notified
3306,ORG,Bonhams, being notified by ,GPE, Egypt 's Supreme Council
3307,ORG,Bonhams, withdrew ,O, piece from sale
3308,ORG,Bonhams, withdrew ,O, piece
3309,ORG,http://www.sca-egypt.org/eng/RST_003_Mutirdis.htm, accessed ,O, 6 February 2014
3310,ORG,SCA, fragment from ,O, Tomb of
3311,ORG,Corbridge, has ,CARDINAL, one histories of instances
3312,ORG,Corbridge, has ,CARDINAL, one documented histories of instances of nighthawking in United Kingdom
3313,ORG,Corbridge, known by ,O, its name
3314,ORG,Corbridge, has ,CARDINAL, one of documented histories of instances of nighthawking
3315,ORG,Corbridge, known by ,NORP, its Latin name
3316,PERSON,English Heritage, have employed security firm on ,O, site
3317,GPE,England, in examples is ,PERSON, Addyman 2001
3318,ORG,Corbridge, has ,CARDINAL, one of most documented histories of instances of nighthawking in United Kingdom
3319,ORG,Corbridge, known by ,ORG, its name of Corstopitum
3320,ORG,Corbridge, has ,CARDINAL, one histories
3321,ORG,Corbridge, also known by ,ORG, its name of Corstopitum
3322,PERSON,English Heritage, have consistently employed security firm on ,O, site
3323,ORG,Corbridge, has ,CARDINAL, one of most documented histories of instances of nighthawking
3324,ORG,Corbridge, has ,CARDINAL, one histories of instances of nighthawking
3325,ORG,Corbridge, has ,CARDINAL, one most documented histories of instances
3326,ORG,Corbridge, also known by ,NORP, its Latin name of Corstopitum
3327,ORG,Corbridge, has ,CARDINAL, one documented histories of instances
3328,ORG,Corbridge, has ,CARDINAL, one documented histories of instances of nighthawking
3329,ORG,Corbridge, also known by ,NORP, its Latin name
3330,ORG,Corbridge, also known by ,ORG, its Latin name of Corstopitum
3331,ORG,Corbridge, has ,CARDINAL, one histories of instances of nighthawking in United Kingdom
3332,ORG,Corbridge, has ,CARDINAL, one of documented histories of instances of nighthawking in United Kingdom
3333,ORG,Corbridge, has ,CARDINAL, one of documented histories of instances
3334,ORG,Corbridge, has ,CARDINAL, one most documented histories of instances of nighthawking in United Kingdom
3335,NORP,Hadrian, 's Wall is ,O, http://www.english-heritage.org.uk/daysout/properties/corbridge-roman-town-hadrians-wall
3336,ORG,Corbridge, known by ,NORP, its Latin name of Corstopitum
3337,PERSON,Addyman, Antiquities without ,PERSON, Archaeology in United Kingdom '
3338,NORP,Hadrian, of ,O, Wall
3339,ORG,Corbridge, has ,CARDINAL, one of most documented histories of instances
3340,PERSON,English Heritage, have consistently employed ,O, security firm
3341,ORG,Corbridge, town on ,DATE, outskirts of modern-day Corbridge in Northumberland
3342,ORG,Corbridge, has ,CARDINAL, one of histories
3343,NORP,Hadrian, 's Wall is ,DATE, accessed 12/07/2012
3344,ORG,Corbridge, known by ,ORG, its Latin name of Corstopitum
3345,PERSON,English Heritage, have employed ,O, security firm
3346,ORG,Corbridge, has ,CARDINAL, one of most documented histories
3347,ORG,Corbridge, has ,CARDINAL, one of histories of instances of nighthawking in United Kingdom
3348,ORG,Corbridge, has ,CARDINAL, one of documented histories
3349,ORG,Corbridge, has ,CARDINAL, one most documented histories
3350,NORP,Hadrian, ' ,O, Wall
3351,ORG,Corbridge, also known by ,O, its name
3352,ORG,Corbridge, town on ,GPE, outskirts of modern-day Corbridge in Northumberland
3353,ORG,Corbridge, has ,CARDINAL, one most documented histories of instances of nighthawking
3354,ORG,Corbridge, has ,CARDINAL, one documented histories
3355,ORG,Corbridge, has ,CARDINAL, one of histories of instances of nighthawking
3356,ORG,Corbridge, town on ,ORG, outskirts of modern-day Corbridge in Northumberland
3357,GPE,England, in examples is ,DATE, Addyman 2001
3358,PERSON,Xochipala, is best known for ,WORK_OF_ART, Preclassic/Formative period
3359,PERSON,Xochipala, is ,O, known
3360,PERSON,Forrest D. Colburn, is in ,DATE, 2003
3361,CARDINAL,two, as notable is ,GPE, Griffin
3362,DATE,1983, in Joralemon is ,O, formerly curator at Lowe Art Museum
3363,DATE,2003, in Colburn is ,O, Professor of Latin American Studies at City University of New York
3364,PERSON,Forrest D. Colburn, Professor of ,O, Latin American Studies
3365,PERSON,Xochipala, is ,O, best known
3366,GPE,Las Mesas, miles from ,PERSON, Xochipala
3367,GPE,Mexico, has ,O, Indigenous Past
3368,PERSON,Xochipala, is known for ,O, period
3369,PERSON,Xochipala, is best known for ,O, period
3370,ORG,Princeton University, Record of ,O, Art Museum
3371,GPE,Mexico, 's Past is ,O, Norman
3372,PERSON,Peter David Joralemon, curator at ,O, Lowe Art Museum
3373,PERSON,Xochipala, is known for ,WORK_OF_ART, Preclassic/Formative period
3374,PERSON,Forrest D. Colburn, Professor at ,O, City University of New York
3375,PERSON,Peter G. Wray, is in ,DATE, 1982
3376,ORG,Aztecs, to Olmecs is ,GPE, London
3377,GPE,Niven, from ,O, collection
3378,PERSON,Peter David Joralemon, is in ,DATE, 1983
3379,PERSON,Kilpatrick, contacted ,O, authorities
3380,PERSON,Manukonga, path ,O, described
3381,PERSON,Manukonga, path ,O, described as tribesman
3382,PERSON,Entwistle, applying for ,O, permit do under stipulations
3383,PERSON,Kilpatrick, contacted authorities at ,GPE, Taranaki Museum
3384,PERSON,Entwistle, offered provenance documents According to ,O, members
3385,PERSON,Kilpatrick, immediately contacted authorities at ,GPE, Taranaki Museum
3386,PERSON,Entwistle, bought panels for ,MONEY, $ 6000
3387,PERSON,Entwistle, told ,O, him
3388,PERSON,Entwistle, bought panels from ,PERSON, Manukonga
3389,PERSON,Entwistle, bought ,O, panels
3390,PERSON,Entwistle, applying for ,O, permit
3391,PERSON,Entwistle, applying for ,O, permit do
3392,PERSON,Entwistle, offered ,O, provenance documents
3393,PERSON,Kilpatrick, remained ever ,NORP, Topine
3394,PERSON,Kilpatrick, immediately contacted ,O, authorities
3395,PERSON,Entwistle, also offered ,O, provenance documents
3396,PERSON,Ortiz, consign ,CARDINAL, 234 items for auction
3397,PERSON,Ortiz, shipped panels to ,GPE, London
3398,PERSON,Entwistle, also offered provenance documents According to ,O, members
3399,PERSON,Kilpatrick, immediately contacted ,NORP, Topine
3400,PERSON,Kilpatrick, now referred ,NORP, Topine
3401,PERSON,Ortiz, indicated As ,O, sale
3402,PERSON,Ortiz, determined In ,O, appeal
3403,PERSON,Ortiz, indicated As ,O, sale of items
3404,ORG,Crown, acquired ,O, title
3405,GPE,New York, view ,O, panels
3406,PERSON,Entwistle, allegedly told ,O, him
3407,PERSON,Entwistle, offered provenance documents According to ,O, members of New Zealand government
3408,PERSON,Ortiz, shipped panels for ,O, 29 June sale
3409,PERSON,Entwistle, applying for ,DATE, permit do so under stipulations of 1962 New Zealand Historic Articles Act
3410,PERSON,Kilpatrick, contacted authorities at ,GPE, Taranaki Museum in New Plymouth
3411,PERSON,Graziella, was ,O, returned
3412,PERSON,Kilpatrick, remained ,NORP, Topine
3413,PERSON,Ortiz, indicated As ,O, sale of other items
3414,PERSON,Manukonga, brought ,O, panels
3415,GPE,Motunui, at battle is ,O, group of elaborate carved wooden panels
3416,PERSON,Kilpatrick, referred ,NORP, Topine
3417,PERSON,Entwistle, applying for ,O, permit do so under stipulations
3418,PERSON,Manukonga, brought panels to ,O, his home
3419,PERSON,Ortiz, purchased ,CARDINAL, five panels
3420,PERSON,Ortiz, enough indicated As ,O, sale of other items
3421,PERSON,Manukonga, reportedly brought panels to ,O, his home
3422,PERSON,Manukonga, reportedly brought ,O, panels
3423,ORG,Crown, only acquired ,O, title
3424,PERSON,Kilpatrick, referred to ,GPE, to Ngati Rahiri Taonga
3425,GPE,New Zealand, has ,O, claim
3426,PERSON,Manukonga, was cutting path through ,O, swamp
3427,PERSON,Manukonga, was cutting ,O, path
3428,PERSON,Kilpatrick, contacted ,NORP, Topine
3429,PERSON,Kilpatrick, now referred to ,GPE, to Ngati Rahiri Taonga
3430,PERSON,Ortiz, consign ,CARDINAL, 234 items
3431,PERSON,Entwistle, applying for ,DATE, permit do under stipulations of 1962 New Zealand Historic Articles Act
3432,PERSON,Manukonga, was reportedly cutting path through ,O, swamp
3433,PERSON,Kilpatrick, immediately contacted authorities at ,GPE, Taranaki Museum in New Plymouth
3434,PERSON,Entwistle, Specifically exported ,O, them
3435,PERSON,Ortiz, shipped ,O, panels
3436,PERSON,Ortiz, determined In ,O, subsequent appeal
3437,PERSON,Ortiz, enough indicated As ,O, sale of items
3438,PERSON,Ortiz, enough indicated As ,O, sale
3439,PERSON,Manukonga, was reportedly cutting ,O, path
3440,PERSON,Manukonga, path ,O, described as Maori tribesman
3441,PERSON,Entwistle, exported ,O, them
3442,PERSON,Ortiz, shipped panels for ,O, 29 June sale at Sotheby 's
3443,PERSON,Ortiz, consigned In ,DATE, 1978
3444,PERSON,Graziella, for ,O, ransom
3445,PERSON,Entwistle, also offered provenance documents According to ,O, members of New Zealand government
3446,GPE,New Zealand, has ,DATE, Historic Articles Act of 1962
3447,PERSON,Ortiz, sent ,O, them
3448,PERSON,Ortiz, consigned after at_time ,CARDINAL, five years
3449,ORG,Mezzacappa, attempted ,O, hoping
3450,ORG,Mezzacappa, was ,O, For donation able despite valuations
3451,ORG,Mezzacappa, was ,O, For donation allegedly able despite official valuations of piece
3452,ORG,Mezzacappa, allegedly was able despite ,O, official valuations of piece
3453,ORG,Mezzacappa, was ,O, For donation able despite valuations of piece much lower
3454,ORG,Mezzacappa, was ,O, able despite valuations of piece much lower
3455,ORG,Mezzacappa, was ,O, For donation allegedly able despite valuations
3456,ORG,Mezzacappa, allegedly was able despite ,O, valuations of piece
3457,ORG,Mezzacappa, was ,O, allegedly able despite valuations of piece lower
3458,ORG,Mezzacappa, was ,O, For donation allegedly able despite valuations of piece much lower
3459,ORG,Mezzacappa, was ,O, For donation able despite valuations of piece
3460,ORG,Mezzacappa, Facing ,O, pressure
3461,ORG,Mezzacappa, was ,O, For donation able despite official valuations of piece lower
3462,ORG,Mezzacappa, was ,O, For donation allegedly able despite official valuations of piece much lower
3463,ORG,Mezzacappa, was ,O, For donation allegedly able despite official valuations
3464,PERSON,Thomas Hoving, director of ,O, Metropolitan Museum
3465,ORG,Mezzacappa, donate sarcophagus to ,O, Brooklyn Museum
3466,ORG,Mezzacappa, donated piece under ,NORP, Turkish pressure
3467,ORG,Mezzacappa, deduct ,O, $ 11m
3468,ORG,Mezzacappa, was ,O, able despite valuations of piece lower
3469,ORG,Mezzacappa, allegedly was able For ,O, donation
3470,ORG,Mezzacappa, was ,O, For donation able despite valuations of piece lower
3471,ORG,Mezzacappa, donated ,O, piece
3472,ORG,Mezzacappa, donated piece under ,O, pressure
3473,ORG,Mezzacappa, was ,O, For donation allegedly able despite official valuations of piece lower
3474,ORG,Mezzacappa, was ,O, allegedly able despite official valuations of piece much lower
3475,ORG,Mezzacappa, was ,O, For donation allegedly able despite valuations of piece
3476,ORG,Mezzacappa, was ,O, allegedly able despite official valuations of piece lower
3477,DATE,ten years, is in ,O, prison
3478,ORG,Mezzacappa, allegedly was able despite ,O, valuations
3479,ORG,Mezzacappa, was ,O, able despite official valuations of piece much lower
3480,ORG,Mezzacappa, Still donated ,O, piece
3481,ORG,Mezzacappa, was ,O, allegedly able despite valuations of piece much lower
3482,ORG,Mezzacappa, was ,O, able despite official valuations of piece lower
3483,ORG,Mezzacappa, was able despite ,O, valuations
3484,FAC,Özgen Acar, working in ,DATE, 1990
3485,ORG,Mezzacappa, attempted ,O, hoping for tax deduction
3486,ORG,Mezzacappa, Facing ,GPE, pressure from Turkey
3487,ORG,Mezzacappa, was ,O, For donation able despite official valuations of piece much lower
3488,ORG,Mezzacappa, Still donated piece under ,O, pressure
3489,ORG,Mezzacappa, was ,O, For donation allegedly able despite valuations of piece lower
3490,ORG,Mezzacappa, was able despite ,O, official valuations
3491,QUANTITY,1 meter, by meter is ,O, 4 metric ton marble sarcophagus
3492,ORG,Mezzacappa, was ,O, allegedly able
3493,ORG,Mezzacappa, hoping for ,O, tax deduction
3494,ORG,Mezzacappa, was able despite ,O, valuations of piece
3495,ORG,Mezzacappa, was ,O, able
3496,ORG,Mezzacappa, was ,O, For donation able despite official valuations
3497,ORG,Mezzacappa, Facing ,GPE, mounting pressure from Turkey
3498,PERSON,Pope, jubilation over ,O, recovery of ancient sarcophagus
3499,ORG,Mezzacappa, was able despite ,O, official valuations of piece
3500,ORG,Mezzacappa, was able For ,O, donation
3501,ORG,Mezzacappa, Facing ,O, mounting pressure
3502,ORG,Mezzacappa, donate ,O, sarcophagus
3503,ORG,Mezzacappa, allegedly was able despite ,O, official valuations
3504,ORG,Mezzacappa, Still donated piece under ,NORP, Turkish pressure
3505,ORG,Mezzacappa, was ,O, For donation able despite official valuations of piece
3506,GPE,Wanborough, is in ,GPE, Surrey
3507,PERSON,Bland, Development of ,O, Treasure Act
3508,GPE,Wanborough, experienced due ,O, further looting
3509,GPE,Wanborough, experienced ,O, further looting
3510,GPE,Wanborough, experienced looting perhaps due on ,O, occasions
3511,GPE,Wanborough, experienced perhaps due ,O, further looting
3512,PERSON,Addyman, Antiquities without ,PERSON, Archaeology in United Kingdom '
3513,GPE,Wanborough, experienced looting due on ,O, later occasions
3514,GPE,Wanborough, experienced perhaps due ,O, looting
3515,GPE,Wanborough, experienced ,O, looting
3516,GPE,Wanborough, experienced looting on ,O, occasions
3517,GPE,Wanborough, experienced looting perhaps due on ,O, later occasions
3518,PERSON,Graham, change ,O, law
3519,GPE,Wanborough, experienced due ,O, looting
3520,GPE,Wanborough, experienced looting on ,O, later occasions
3521,GPE,Wanborough, experienced looting due on ,O, occasions
3522,NORP,Medici, visited ,O, warehouse
3523,NORP,Medici, reported on ,O, condition
3524,NORP,Medici, was scheduled ,GPE, Munich on 15 June
3525,GPE,Koutoulakis, asked ,NORP, Giacomo Medici
3526,NORP,Medici, reported back on ,O, condition
3527,QUANTITY,2.04 m, is in ,O, height
3528,NORP,Medici, be in ,GPE, Munich
3529,GPE,Munich, watch ,O, football match
3530,PERSON,Todeschini, has ,O, use of term
3531,NORP,Medici, was ,O, scheduled
3532,NORP,Medici, was scheduled ,GPE, Munich
3533,PERSON,Watson, reported ,O, statements to effect
3534,ORG,Tsirogiannis, University of ,O, Cambridge
3535,NORP,Medici, kept Polaroid images in ,O, his archive
3536,NORP,Medici, kept ,ORG, Polaroid images
3537,PERSON,Giacomo Medici, illegal export of ,O, goods
3538,GPE,Munich, watch ,GPE, football match between Italy
3539,PERSON,Giacomo Medici, check ,O, object
3540,NORP,Medici, be in ,GPE, Munich on 15 June
3541,PERSON,Giacomo Medici, conspiracy to ,O, traffic
3542,ORG,Tsirogiannis, Unravelling International Illicit Antiquities Network through ,O, Robin Symes-Christos Michaelides archive
3543,NORP,Medici, reported back on ,O, condition of statue
3544,NORP,Medici, reported on ,O, condition of statue
3545,PERSON,Giacomo Medici, check object for ,O, him
3546,ORG,Tsirogiannis, Unravelling ,O, International Illicit Antiquities Network
3547,PERSON,Watson, reported ,O, statements
3548,PERSON,Giacomo Medici, export of ,O, goods
3549,PERSON,Watson, reported ,PERSON, Todeschini
3550,NORP,Medici, is ,NORP, Italian
3551,GPE,Aidone, Head of ,LOC, Hades
3552,ORG,http://news.getty.edu/press-materials/press-releases/hades-returns-to-sicily.htm, accessed ,DATE, 15 January 2013
3553,PRODUCT,Tonalamatl, be ratified in accordance with ,O, Federal Law in effect
3554,ORG,Castañeda, had become ,O, upset by idea of manuscripts
3555,GPE,France, formally requested after ,O, theft
3556,PERSON,Greenfield, return of ,O, cultural property
3557,PRODUCT,Tonalamatl, be ratified in accordance with ,O, Federal Law of Monuments in effect
3558,GPE,Mexico, keep ,PRODUCT, Aubin Tonalamatl
3559,PERSON,Quiñones Keber, is in ,O, David Carrasco
3560,ORG,Castañeda, put ,O, codex
3561,ORG,Castañeda, initially detained for ,O, theft
3562,ORG,Castañeda, writing ,GPE, various articles on Mexico 's past
3563,GPE,Mexico, keep Aubin Tonalamatl on ,O, loan
3564,LAW,Aubin, obtained ,CARDINAL, pages 3
3565,GPE,Mexico, on ,O, ancient past
3566,ORG,Castañeda, detained for ,O, theft
3567,ORG,Castañeda, retrieved ,O, his authorised reader card
3568,ORG,Castañeda, presented ,O, himself
3569,ORG,Castañeda, had become According to ,O, his attorney
3570,ORG,INAH, Keep ,O, Codex Stolen
3571,ORG,Castañeda, had become ,O, upset by idea
3572,PERSON,Waldek, sold codex to ,GPE, Joseph Marius Alexis Aubin in Paris
3573,ORG,INAH, Keep ,O, Codex Stolen from French National Library '
3574,ORG,Castañeda, put codex under ,O, his jacket
3575,PERSON,Waldek, sold ,O, codex
3576,PERSON,Waldek, sold codex to ,LAW, Joseph Marius Alexis Aubin in Paris
3577,PERSON,Goupil, by ,DATE, widow in 1898
3578,GPE,Mexico, keep ,LAW, Aubin Tonalamatl
3579,ORG,Castañeda, quoted in ,ORG, Mueller 1982
3580,ORG,Castañeda, writing ,O, articles
3581,PRODUCT,Tonalamatl, be ratified in accordance with ,O, Federal Law
3582,ORG,Castañeda, upset by ,O, idea of manuscripts
3583,PERSON,Waldek, sold codex in ,DATE, 1841
3584,ORG,Castañeda, upset by ,O, idea
3585,PERSON,http://mexiconationalmuseumanthropology.blogspot.com/2009/02/inah-and-stolen-maya-codex-from-french.html, accessed on ,O, 7 August 2012
3586,GPE,France, requested after ,O, theft
3587,GPE,Mexico, has ,O, cultural heritage
3588,ORG,Castañeda, writing ,GPE, various articles on Mexico 's ancient past
3589,GPE,France, requested after ,O, Shortly theft
3590,ORG,Castañeda, instantly admitted ,O, theft
3591,ORG,Castañeda, writing ,GPE, articles on Mexico 's ancient past
3592,ORG,Castañeda, walked out of ,O, library
3593,ORG,Castañeda, had become ,O, upset
3594,ORG,Castañeda, upset by ,NORP, idea of Mexican manuscripts
3595,PRODUCT,Tonalamatl, be ratified in accordance with ,O, Federal Law of Monuments
3596,GPE,Mexico, keep Aubin Tonalamatl on ,O, permanent loan
3597,ORG,Castañeda, donated ,O, it
3598,LAW,Aubin, eventually obtained ,CARDINAL, pages 3
3599,ORG,Castañeda, retrieved ,O, his reader card
3600,ORG,Castañeda, provided ,O, necessary documents
3601,PERSON,Joseph Marius Alexis Aubin, is in ,GPE, Paris
3602,ORG,Castañeda, carried ,O, codex
3603,ORG,Castañeda, eventually donated ,O, it
3604,PRODUCT,Tonalamatl, be ratified as ,O, monument
3605,GPE,Mexico, keep Aubin Tonalamatl on ,DATE, Fernandez 2009
3606,PRODUCT,Tonalamatl, is ,ORG, Nahuatl
3607,ORG,Castañeda, had become ,NORP, upset by idea of Mexican manuscripts
3608,PERSON,David Carrasco, in Keber is ,O, Eloise
3609,ORG,Castañeda, was released by ,NORP, order of Mexican Attorney General 's office
3610,ORG,Castañeda, writing ,O, various articles
3611,PERSON,Nebel, sold ,O, it
3612,DATE,August 1982, in Cancus is ,GPE, Mexico
3613,ORG,Castañeda, carried ,GPE, codex to Mexico
3614,GPE,France, formally requested after ,O, Shortly theft
3615,ORG,Castañeda, quoted in ,DATE, Mueller 1982
3616,PERSON,Starr, Review of ,PRODUCT, Tonalamatl
3617,ORG,Castañeda, writing ,GPE, articles on Mexico 's past
3618,ORG,Castañeda, was ,O, released
3619,PRODUCT,Tonalamatl, be ,O, ratified
3620,ORG,Castañeda, admitted ,O, theft
3621,PERSON,Nebel, purchased ,O, codex
3622,PRODUCT,Tonalamatl, be ratified as ,O, archaeological monument
3623,ORG,Cancus, is in ,DATE, August 1982
